Participant;Item;RT_ms;Step;Iteration;Voice;Condition;Response;VoiceCond
BD54;vis;276,53;2;2;male;ie;ie;male_ie
BD54;vis;257,74;3;2;male;ie;ie;male_ie
BD54;vis;278,515;4;3;male;ie;ie;male_ie
BD54;vis;272,435;1;3;male;ie;ie;male_ie
BD54;vis;384,08;2;3;male;ie;ie;male_ie
BD54;vis;564,375;3;3;male;ie;ie;male_ie
BD54;vis;359,39;4;4;male;ie;ie;male_ie
BD54;vis;194,34;1;4;male;ie;ie;male_ie
BD54;vis;177,9799999;2;4;male;ie;ie;male_ie
BD54;vis;258,5550001;3;4;male;ie;ie;male_ie
BD54;vis;586,2749999;4;5;male;ie;ie;male_ie
BD54;vis;16,52000006;1;5;male;ie;ie;male_ie
BD54;vis;399,5149999;2;5;male;ie;i;male_ie
BD54;vis;81,10000007;3;5;male;ie;ie;male_ie
BD54;vis;151,1200001;4;6;male;ie;ie;male_ie
BD54;vis;81,29500004;1;6;male;ie;ie;male_ie
BD54;vis;167,87;2;6;male;ie;ie;male_ie
BD54;vis;431,385;3;6;male;ie;i;male_ie
BD54;vis;1077,94;4;7;male;ie;ie;male_ie
BD54;vis;243,925;1;7;male;ie;ie;male_ie
BD54;vis;283,5050001;2;7;male;ie;ie;male_ie
BD54;vis;125,9550001;3;7;male;ie;i;male_ie
BD54;vis;98,23999996;4;8;male;ie;ie;male_ie
BD54;vis;517,5749999;1;8;male;ie;ie;male_ie
BD54;vis;40,20000005;2;8;male;ie;ie;male_ie
BD54;vis;379,505;3;8;male;ie;ie;male_ie
BD54;wit;1328,575;3;1;male;ie;ie;male_ie
BD54;wit;368,55;1;1;male;ie;i;male_ie
BD54;wit;317,525;4;1;male;ie;ie;male_ie
BD54;wit;385,6200001;2;1;male;ie;i;male_ie
BD54;wit;575,8699999;3;2;male;ie;i;male_ie
BD54;wit;309,745;1;2;male;ie;i;male_ie
BD54;wit;271,6099999;4;2;male;ie;ie;male_ie
BD54;wit;336,735;2;2;male;ie;i;male_ie
BD54;wit;325,25;3;3;male;ie;i;male_ie
BD54;wit;187,5999999;1;3;male;ie;i;male_ie
BD54;wit;268,5499999;4;3;male;ie;ie;male_ie
BD54;wit;289,4700001;2;3;male;ie;ie;male_ie
BD54;wit;55,65499992;3;4;male;ie;ie;male_ie
BD54;wit;186,755;1;4;male;ie;i;male_ie
BD54;wit;79,35999997;4;4;male;ie;ie;male_ie
BD54;wit;199,36;2;4;male;ie;i;male_ie
BD54;wit;706,885;3;5;male;ie;i;male_ie
BD54;wit;351,015;1;5;male;ie;i;male_ie
BD54;wit;149,965;4;5;male;ie;ie;male_ie
BD54;wit;186,12;2;5;male;ie;i;male_ie
BD54;wit;68,29999993;3;6;male;ie;ie;male_ie
BD54;wit;141,195;1;6;male;ie;i;male_ie
BD54;wit;267,99;4;6;male;ie;ie;male_ie
BD54;wit;1252,275;2;6;male;ie;ie;male_ie
BD54;wit;176,02;3;7;male;ie;i;male_ie
BD54;wit;331,265;1;7;male;ie;i;male_ie
BD54;wit;50,06499996;4;7;male;ie;ie;male_ie
BD54;wit;594,84;2;7;male;ie;i;male_ie
BD54;wit;51,30000005;3;8;male;ie;ie;male_ie
BD54;wit;518,41;1;8;male;ie;i;male_ie
BD54;wit;TIME_ELAPSED;4;8;male;ie;i;male_ie
BD54;wit;426,5150001;2;8;male;ie;i;male_ie
BF11;kist;558,9599999;2;1;male;ie;i;male_ie
BF11;kist;375,4199999;1;1;male;ie;i;male_ie
BF11;kist;469,8099999;4;1;male;ie;ie;male_ie
BF11;kist;498,6;3;1;male;ie;i;male_ie
BF11;kist;2119,875;4;2;male;ie;ie;male_ie
BF11;kist;407,0499999;1;2;male;ie;i;male_ie
BF11;kist;374,545;3;2;male;ie;i;male_ie
BF11;kist;49,72499993;2;2;male;ie;i;male_ie
BF11;kist;373,4;1;3;male;ie;i;male_ie
BF11;kist;340,6550001;3;3;male;ie;i;male_ie
BF11;kist;292,045;2;3;male;ie;i;male_ie
BF11;kist;457,37;4;3;male;ie;ie;male_ie
BF11;kist;305,59;3;4;male;ie;i;male_ie
BF11;kist;244,375;4;4;male;ie;i;male_ie
BF11;kist;263,07;1;4;male;ie;i;male_ie
BF11;kist;212,935;2;4;male;ie;i;male_ie
BF11;kist;144,5749999;3;5;male;ie;i;male_ie
BF11;kist;211,28;1;5;male;ie;i;male_ie
BF11;kist;332,57;4;5;male;ie;i;male_ie
BF11;kist;303,85;2;5;male;ie;i;male_ie
BF11;kist;274,1650001;1;6;male;ie;i;male_ie
BF11;kist;51,15499999;4;6;male;ie;i;male_ie
BF11;kist;400,38;3;6;male;ie;i;male_ie
BF11;kist;338,3450001;2;6;male;ie;i;male_ie
BF11;kist;98,62000006;1;7;male;ie;i;male_ie
BF11;kist;290,54;4;7;male;ie;i;male_ie
BF11;kist;233,49;3;7;male;ie;i;male_ie
BF11;kist;206,26;2;7;male;ie;i;male_ie
BF11;kist;277,6599999;2;8;male;ie;i;male_ie
BF11;kist;188,665;3;8;male;ie;i;male_ie
BF11;kist;232,63;4;8;male;ie;i;male_ie
BF11;kist;1488,33;1;8;male;ie;i;male_ie
BF11;lig;499,3499999;3;1;male;ie;i;male_ie
BF11;lig;327,885;1;1;male;ie;i;male_ie
BF11;lig;301,355;4;1;male;ie;i;male_ie
BF11;lig;363,155;2;1;male;ie;i;male_ie
BF11;lig;405,115;2;2;male;ie;i;male_ie
BF11;lig;287,7600001;1;2;male;ie;i;male_ie
BF11;lig;149,03;4;2;male;ie;i;male_ie
BF11;lig;222,395;3;2;male;ie;i;male_ie
BF11;lig;410,51;3;3;male;ie;i;male_ie
BF11;lig;292,9999999;4;3;male;ie;i;male_ie
BF11;lig;339,5;2;3;male;ie;i;male_ie
BF11;lig;275,435;1;3;male;ie;i;male_ie
BF11;lig;165,39;1;4;male;ie;i;male_ie
BF11;lig;289,615;3;4;male;ie;i;male_ie
BF11;lig;241,255;2;4;male;ie;i;male_ie
