Participant;Item;Item_Type;Correct_Response;Part_Response;RT_ms;Condition;Response
IU89 ;voordeel;filler;word;word;126,955;i;correct
IU89 ;mentaal;filler;word;word;127,2800001;i;correct
MF86;mentaal;filler;word;word;127,565;i;correct
TX60;lag;filler;word;word;127,7500005;i;correct
MF88;aap;filler;word;word;127,98;i;correct
FD05;baas;filler;word;word;128,43;ie;correct
FF38;donker;filler;word;word;128,715;ie;correct
MF88;roman;filler;word;word;128,85;i;correct
CF70;offer;filler;word;word;129,05;ie;correct
TY61;foto;filler;word;word;129,11;i;correct
MU27;offer;filler;word;word;129,155;ie;correct
FF20;verstand;filler;word;word;129,81;ie;correct
UU48;roos;filler;word;word;129,89;ie;correct
KF77;bron;filler;word;word;130,0900001;i;correct
MT15;soldaat;filler;word;word;130,1149999;i;correct
KF77;voordeel;filler;word;word;130,3249998;i;correct
IU89 ;raak;filler;word;word;130,3600001;i;correct
DV10;koorts;filler;word;word;130,575;i;correct
PU79;normaal;filler;word;word;130,77;i;correct
DE18;marge;filler;word;word;131,315;ie;correct
LO27;troon;filler;word;word;131,36;i;correct
SV59;baas;filler;word;word;131,655;ie;correct
FI03;baas;filler;word;word;131,71;i;correct
NX92;hoofdstad;filler;word;word;131,7950001;i;correct
MH99;gevaar;filler;word;word;132,4;i;correct
SV59;offer;filler;word;word;132,49;ie;correct
SV59;onrust;filler;word;word;132,53;ie;correct
MO41;marge;filler;word;word;132,59;i;correct
MH99;nobel;filler;word;word;132,675;i;correct
MF88;droog;filler;word;word;132,885;i;correct
PU79;donker;filler;word;word;132,89;i;correct
FO97;zon;filler;word;word;133,48;ie;correct
CF70;genot;filler;word;word;133,6450001;ie;correct
UU48;staart;filler;word;word;133,795;ie;correct
MF86;boot;filler;word;word;133,87;i;correct
FO97;staal;filler;word;word;135,09;ie;correct
NX81;dorp;filler;word;word;135,195;i;correct
GR22;soldaat;filler;word;word;135,22;i;correct
NX81;bravo;filler;word;word;135,25;i;correct
MR77;mosterd;filler;word;word;135,38;ie;correct
SV59;bravo;filler;word;word;135,385;ie;correct
GT29;adel;filler;word;word;135,41;ie;correct
